representation,source_file,num_samples,num_candidate_points,num_candidates,threshold,calibration_mode,calibration_target,candidate_point_rate,score_mean,score_std,score_max,candidate_points_total,candidate_length_mean,candidate_length_max,peak_score_mean,peak_score_max
real_concat,A1-11.1_preprocessed__real_concat.csv,22205,97,1,13.305150625353635,global_quantile,0.995,0.0043683854987615406,1.335830380046739,2.3138547549487494,48.79287707803084,90,90.0,90,48.79287707803084,48.79287707803084
real_concat,A1-13.1_preprocessed__real_concat.csv,22296,244,11,13.305150625353635,global_quantile,0.995,0.010943667025475421,3.419830802252524,59.59738190521002,3035.8514640724256,244,22.181818181818183,54,319.1250466011775,3035.8514640724256
real_concat,A1-14.1_preprocessed__real_concat.csv,8728,70,5,13.305150625353635,global_quantile,0.995,0.008020164986251146,1.7129747241732887,8.760240724563019,267.5125828478742,69,13.8,26,81.37945075495291,267.5125828478742
real_concat,A1-15.1_preprocessed__real_concat.csv,27940,32,2,13.305150625353635,global_quantile,0.995,0.001145311381531854,1.1835018202255703,1.250072820216076,22.345310459429342,29,14.5,16,19.643286451514086,22.345310459429342
real_concat,A1-16.1_preprocessed__real_concat.csv,21424,130,5,13.305150625353635,global_quantile,0.995,0.006067961165048544,1.4720552355808212,3.91199196354289,120.07283806439523,121,24.2,38,63.827457578452254,120.07283806439523
real_concat,A1-17.1_preprocessed__real_concat.csv,1936,9,1,13.305150625353635,global_quantile,0.995,0.0046487603305785125,1.4489553012665923,2.0287389067415367,19.330466675330303,9,9.0,9,19.330466675330303,19.330466675330303
real_concat,A1-18.1_preprocessed__real_concat.csv,20036,85,5,13.305150625353635,global_quantile,0.995,0.0042423637452585344,1.2220661140949354,2.391063015014133,70.86800590491362,81,16.2,21,41.679121876174904,70.86800590491362
real_concat,A1-19.1_preprocessed__real_concat.csv,3317,77,4,13.305150625353635,global_quantile,0.995,0.023213747362074162,1.8277461971145177,4.06136420978755,51.16355351746553,77,19.25,31,32.38624809999973,51.16355351746553
real_concat,A1-2.1_preprocessed__real_concat.csv,19417,56,3,13.305150625353635,global_quantile,0.995,0.0028840706597311632,1.4599943965050808,1.6319454241170899,22.888655366104935,56,18.666666666666668,36,19.591207555202086,22.888655366104935
real_concat,A1-20.1_preprocessed__real_concat.csv,1725,0,0,13.305150625353635,global_quantile,0.995,0.0,1.2140892272798842,1.598666185917906,9.68822567665156,0,0.0,0,0.0,0.0
real_concat,A1-21.1_preprocessed__real_concat.csv,1437,0,0,13.305150625353635,global_quantile,0.995,0.0,1.0294888579065908,1.5493522124308383,8.960776204104718,0,0.0,0,0.0,0.0
real_concat,A1-22.1_preprocessed__real_concat.csv,6907,0,0,13.305150625353635,global_quantile,0.995,0.0,1.2053983268488804,1.0038243795845105,10.054305788092869,0,0.0,0,0.0,0.0
real_concat,A1-23.1_preprocessed__real_concat.csv,5098,31,2,13.305150625353635,global_quantile,0.995,0.006080816006276971,1.2001065713056593,2.488066739244545,47.76617024631251,31,15.5,17,36.83640078510291,47.76617024631251
real_concat,A1-25.1_preprocessed__real_concat.csv,5077,20,1,13.305150625353635,global_quantile,0.995,0.003939334252511325,1.8270522898849788,2.1747429080674037,16.54686137822269,20,20.0,20,16.54686137822269,16.54686137822269
real_concat,A1-26.1_preprocessed__real_concat.csv,1227,21,1,13.305150625353635,global_quantile,0.995,0.017114914425427872,2.27288997162527,3.3907006873372443,15.422507003376849,17,17.0,17,15.422507003376849,15.422507003376849
real_concat,A1-27.1_preprocessed__real_concat.csv,26256,113,2,13.305150625353635,global_quantile,0.995,0.004303778184034126,2.0865615663934065,11.470026677486498,398.2888788894069,111,55.5,101,206.3092512495177,398.2888788894069
real_concat,A1-29.1_preprocessed__real_concat.csv,25614,85,7,13.305150625353635,global_quantile,0.995,0.003318497696572187,1.275990223655934,1.4852570312448956,19.932993812152255,85,12.142857142857142,18,17.674793085813615,19.932993812152255
real_concat,A1-3.1_preprocessed__real_concat.csv,27104,78,3,13.305150625353635,global_quantile,0.995,0.0028778040141676504,1.2969397729868892,1.9200791545824178,64.81780199070342,78,26.0,35,33.02588356890521,64.81780199070342
real_concat,A1-30.1_preprocessed__real_concat.csv,6501,52,2,13.305150625353635,global_quantile,0.995,0.007998769420089216,1.769083629504849,3.3169857876363733,53.38293724707742,46,23.0,27,48.3712767693266,53.38293724707742
