sample_index,axis,baseline_distance,mode_common,mode_difference,mode_coupling,mode_saliency
59,2.95229117295715,1.499999995806479,1.0093207064776233,-0.28800461400539074,0.04109341352422877,-0.5863161337702592
60,2.96211092037129,1.4999999996979885,1.0111135481031845,-0.562031350351446,0.041168958634170735,-0.5739183360471007
61,2.97201607988527,1.4999999956858476,1.0117187267109982,-0.544632836288889,0.041210275153056704,-0.5704036683037821
62,2.98200278014076,1.50000000317269,1.0127324008791052,-0.555071932774318,0.04120407936859305,-0.5478846972291
63,2.99206706327395,1.500000002258164,1.0124298115751433,-0.5028763645780899,0.04129336357889265,-0.542469312046673
64,3.0022048936654,1.500000008756455,1.0128610013332064,-0.3123625185356438,0.04123355797833455,-0.5160838326455109
65,3.01241215882664,1.5000000051977609,1.0134510504758771,-0.2566872514093463,0.041202879785966526,-0.49470491200370514
66,3.02268467832249,1.4999999955148795,1.0140637938163173,-0.26625646022782024,0.04125129216555699,-0.47417562541939356
67,3.03301821065014,1.4999999945892033,1.0147067960870437,-0.43415221438684753,0.04125609827791454,-0.4224587287415293
68,3.04340846323084,1.4999999968503397,1.0143058652593766,-0.30105350436733397,0.04128230214575489,-0.33779979370054075
69,3.05385109332257,1.5000000032055512,1.014464724643874,-0.44285145651001934,0.041220383161223714,-0.34333547244142754
70,3.06434171622765,1.5000000079995406,1.0156523876617318,-0.5394132503573227,0.04124069124313905,-0.29381706128274404
71,3.07487590556133,1.499999994265148,1.0158944591049013,-0.408924355990328,0.04117610049825404,-0.24859818143777604
72,3.08544919807917,1.4999999978711038,1.0158415059766255,-0.5629012808346571,0.041105129501607364,-0.18347878581911706
73,3.09605709496094,1.5000000030476623,1.0156296934639621,-0.3297610545022563,0.04108110474885752,-0.04817223601524611
74,3.10669506309736,1.499999996882707,1.0163937314562732,-0.3341106989718028,0.041125692522002114,0.029210312319045414
75,3.11735854301479,1.4999999988354384,1.0160457537567722,-0.2714760100948447,0.041125247523296424,0.14940200268253417
76,3.12804294443915,1.499999994563834,1.016348343060624,-0.535933577151874,0.04113951956156199,0.1768221235933428
77,3.13874364261188,1.5000000025661444,1.0174754882176893,-0.3836964782484434,0.04113729244506902,0.3355375421342905
78,3.14945597507364,1.5000000036699734,1.0173393230309615,-0.2253699125217978,0.04109984844302114,0.4418527196189916
79,3.16017524274425,1.5000000060101193,1.0166282381668161,-0.19057286070956067,0.04106011702916369,-0.15724350545089621
80,3.17089671097674,1.4999999948690563,1.0173014993679388,-0.2262398574889228,0.04104930404209781,-0.24210215753822864
81,3.18161560273623,1.5000000037662344,1.0165601555733972,-0.4211033009386687,0.041012359846186286,-0.39424389394005
82,3.19232709331875,1.4999999968113211,1.017346887763588,-0.35672877969574435,0.040995387444981865,-0.4123371968334716
83,3.20302630268107,1.4999999951137009,1.016499637712605,-0.34280996464610275,0.040969064588700824,-0.46429359667992975
84,3.21370829340159,1.5000000012019872,1.0175587002762512,-0.2975737901620521,0.04099022825283709,-0.5129269500103193
85,3.22436806299315,1.49999999739262,1.0176721712652095,-0.38543634219301803,0.040879062373859514,-0.5425581314648678
86,3.23500054148303,1.500000000779296,1.0183908208619812,-0.33237083802148915,0.040851389288344524,-0.5461637218186763
87,3.24560058913446,1.5000000012162202,1.020410604465569,-0.4672093938929681,0.04084430333515144,-0.5713176086624295
88,3.25616299134477,1.4999999915990192,1.0197978611251288,-0.44894096622626223,0.04088965518122387,-0.5932267761345642
89,3.26668245011201,1.499999997549853,1.0209855241429864,-0.47764851641848544,0.04089427533468261,-0.6142095339860336
90,3.27715358115941,1.5000000001843212,1.0205694638500664,-0.4211033090548105,0.040849042545863495,-0.6064706061166186
91,3.28757090151642,1.5000000043707984,1.0219386804503012,-0.4219732257434594,0.04084722674160195,-0.6118443206524232
92,3.29792882224754,1.4999999975174023,1.023073390339883,-0.35063929490109025,0.04090850935682807,-0.6142737691047382
93,3.30822163992567,1.5000000050012996,1.0235499684934852,-0.49591694884399035,0.04085530005897581,-0.6087610254235998
94,3.31844353995004,1.4999999984799752,1.0232927675851728,-0.5011365209887979,0.04087698529821677,-0.6047836784948988
95,3.32858858695794,1.4999999968322304,1.024223229694718,-0.36107841052539663,0.04090700824569193,-0.6044145313157744
96,3.33865072543948,1.5000000039275327,1.0237012631454663,-0.3880461060532262,0.040982892674323555,-0.6079987292549789
97,3.34862377604721,1.499999994913811,1.0254260221777187,-0.3950055356942575,0.04107067190111215,-0.6123995528981985
98,3.35850143079288,1.499999999838974,1.0255243637014237,-0.5576817191450024,0.04111057721945075,-0.612385211078288
99,3.36827725373578,1.4999999956699073,1.0274911941768456,-0.46546955427759157,0.04114357171208701,-0.6090665979615071
100,3.37794468369258,1.4999999962243575,1.0271432164773444,-0.40979427773997334,0.041150860009510855,-0.6084107740432186
101,3.38749703806842,1.5000000022959967,1.0274760647115924,-0.616836693084307,0.04123929609860607,-0.6147689495373819
102,3.39692751136679,1.5000000015619823,1.0274458057811964,-0.3645581046964689,0.041263204729658595,-0.617024825233915
103,3.40622917652566,1.500000000633188,1.0291554353483057,-0.5750802407398758,0.04130019384205832,-0.614428038470068
104,3.41539498215966,1.5000000071892547,1.0295714956411155,-0.45416048763696765,0.04143861630364381,-0.5988927173070657
105,3.42441775537845,1.5000000029798457,1.0316517971053856,-0.43067249061259255,0.04148107952860149,-0.5843564287692449
106,3.43329021651077,1.5000000038971333,1.0311676542192667,-0.378476918235218,0.04149343772412024,-0.5772086524783547
107,3.4420049886518,1.4999999968105449,1.0307742881241164,-0.41327398111965763,0.04144400223504545,-0.5732053657330606
108,3.45055460095878,1.5000000035940897,1.0316971855010348,-0.47242894546356856,0.041436016077420264,-0.567883961384868
109,3.45893149747456,1.4999999961118389,1.0335883686504113,-0.38717619741719866,0.04143707859029669,-0.5584266520092371
110,3.46712804530251,1.500000004864004,1.0338531342913504,-0.4367619695265643,0.04136064604098125,-0.5743016239134063
111,3.47513654939048,1.4999999994982849,1.0343221477123261,-0.34454980728869916,0.04140379978047207,-0.5462561199300813
112,3.48294926535296,1.500000005321606,1.0340119936758478,-0.21841049962744824,0.04141517021463119,-0.5531062973558254
113,3.49055841743167,1.5000000012147594,1.0339817347454516,-0.2845248975375612,0.04141342400173249,-0.5395744697080346
