sample_index,axis,baseline_distance,signal,background_estimate,residual,residual_smoothed,local_scale,normalized_residual,enhanced_response,abs_residual
44,0.709869319383265,1.4999999993304127,47273.2025,47284.58637459693,-11.38387459693331,-11.231213517734432,1.1599300712064806,-9.682664323076377,9.682664323076377,11.38387459693331
45,0.711775900321865,1.4999999969247917,47273.223,47284.537313693676,-11.314313693677832,-11.161985586965683,1.1599300712064806,-9.622981474526082,9.622981474526082,11.314313693677832
46,0.71377555807941,1.499999998196648,47273.4445,47284.48835435835,-11.043854358351382,-11.080859224366172,1.1599300712064806,-9.55304073877541,9.55304073877541,11.043854358351382
47,0.715873595489535,1.4999999993411497,47273.4245,47284.439496482766,-11.014996482765127,-11.01438987730459,1.1599300712064806,-9.495736122995904,9.495736122995904,11.014996482765127
48,0.718075206396767,1.5000000024402875,47273.555,47284.39073995881,-10.835739958813065,-10.936077437679664,1.1599300712064806,-9.42822132915711,9.42822132915711,10.835739958813065
49,0.720385451662622,1.499999999168027,47273.5365,47284.342084678436,-10.80558467843366,-10.819144019675958,1.1599300712064806,-9.327410581245314,9.327410581245314,10.80558467843366
50,0.722809234513402,1.4999999916038576,47273.5715,47284.2935305337,-10.722030533703219,-10.714645070897758,1.1599300712064806,-9.237319849594993,9.237319849594993,10.722030533703219
51,0.725351271158914,1.4999999931510446,47273.579,47284.24507741672,-10.666077416724875,-10.609358261238311,1.1599300712064806,-9.1465498865834,9.1465498865834,10.666077416724875
52,0.72801606473364,1.499999998895066,47273.5585,47284.196725219714,-10.638225219714514,-10.520394594003543,1.1599300712064806,-9.069852446415965,9.069852446415965,10.638225219714514
53,0.730807881504749,1.500000000956254,47273.817,47284.1484738349,-10.331473834899953,-10.451253961460477,1.1599300712064806,-9.010244859493806,9.010244859493806,10.331473834899953
54,0.733730724593997,1.499999995030776,47273.7265,47284.10032315467,-10.373823154674028,-10.386380700400979,1.1599300712064806,-8.954316262874165,8.954316262874165,10.373823154674028
55,0.736788311145798,1.4999999944461404,47273.956000000006,47284.05227307142,-10.096273071416363,-10.318719147689182,1.1599300712064806,-8.895983821642238,8.895983821642238,10.096273071416363
56,0.739984044996444,1.4999999985295225,47273.79,47284.00432347765,-10.214323477652215,-10.26454697359764,1.1599300712064806,-8.849280856147779,8.849280856147779,10.214323477652215
57,0.743320992849424,1.4999999981753425,47273.743,47283.95647426593,-10.21347426592547,-10.208641848473539,1.1599300712064806,-8.801083877285121,8.801083877285121,10.21347426592547
58,0.746801859162486,1.4999999999945623,47273.687000000005,47283.9087253289,-10.221725328898174,-10.172614776073411,1.1599300712064806,-8.77002418386528,8.77002418386528,10.221725328898174
59,0.750428963559227,1.5000000064604,47273.748,47283.8610765593,-10.113076559297042,-10.110410093563486,1.1599300712064806,-8.716396224685615,8.716396224685615,10.113076559297042
60,0.754204215900064,1.500000000052922,47273.635,47283.8135278499,-10.178527849901002,-10.079916582625527,1.1599300712064806,-8.690107130459237,8.690107130459237,10.178527849901002
61,0.758129096948202,1.4999999990267778,47273.631,47283.7660790936,-10.135079093597597,-10.027745247244537,1.1599300712064806,-8.645129129908975,8.645129129908975,10.135079093597597
62,0.762204637170031,1.5000000066484012,47273.711500000005,47283.718730183304,-10.007230183298816,-9.961007091473018,1.1599300712064806,-8.587592768512549,8.587592768512549,10.007230183298816
63,0.76643139852548,1.5000000034862382,47273.8575,47283.67148101208,-9.813981012084696,-9.888146452777923,1.1599300712064806,-8.524778086400453,8.524778086400453,9.813981012084696
64,0.770809455387667,1.4999999975141307,47273.802500000005,47283.62433147298,-9.821831472974736,-9.814274335365756,1.1599300712064806,-8.461091387308903,8.461091387308903,9.821831472974736
65,0.775338378927532,1.5000000017533954,47273.8325,47283.57728145922,-9.744781459223304,-9.724112854627796,1.1599300712064806,-8.383361287041582,8.383361287041582,9.744781459223304
66,0.780017220729808,1.499999999118914,47273.9175,47283.530330863985,-9.612830863981799,-9.642439681585529,1.1599300712064806,-8.312949134559567,8.312949134559567,9.612830863981799
67,0.784844500523846,1.5000000009152228,47273.9175,47283.483479580646,-9.565979580642306,-9.55808804289619,1.1599300712064806,-8.24022782076381,8.24022782076381,9.565979580642306
68,0.789818194766748,1.4999999956364762,47273.9885,47283.43672750259,-9.448227502587542,-9.46500227639303,1.1599300712064806,-8.159976632512144,8.159976632512144,9.448227502587542
69,0.794935725658496,1.500000001350291,47274.023,47283.39007452326,-9.367074523259362,-9.367460053328411,1.1599300712064806,-8.075883439753412,8.075883439753412,9.367074523259362
70,0.800193952660018,1.4999999975177347,47273.9435,47283.34352053622,-9.400020536217198,-9.260405711684951,1.1599300712064806,-7.983589650411344,7.983589650411344,9.400020536217198
