sample_index,axis,baseline_distance,signal,background_estimate,residual,residual_smoothed,local_scale,normalized_residual,enhanced_response,abs_residual,denoised_signal,wavelet_background
62,2.10325,1.499999997468437,47294.386,47294.29898745734,0.01789809561887523,0.017884276659363724,0.25242467050155054,0.0708499554493976,0.0708499554493976,0.01789809561887523,47294.31688555296,47294.29898745734
63,2.064,1.500000001268599,47294.3155,47294.332739285965,-0.022285966711933725,-0.013783489834167995,0.252086972732825,-0.05467751738514652,0.05467751738514652,0.022285966711933725,47294.31045331925,47294.332739285965
64,2.0883125,1.499999994083441,47294.245,47294.368053613274,-0.05691182734153699,-0.044436442892927315,0.2438189428139827,-0.18225180693540002,0.18225180693540002,0.05691182734153699,47294.31114178593,47294.368053613274
65,2.07,1.500000003180484,47294.3325,47294.40493002672,-0.08534418744966388,-0.07395908955449057,0.23094039710889577,-0.3202518506089539,0.3202518506089539,0.08534418744966388,47294.31958583927,47294.40493002672
66,2.124,1.5000000012732375,47294.325,47294.44317143675,-0.1113137642169022,-0.10171532247073224,0.22802254239932512,-0.44607573181340554,0.44607573181340554,0.1113137642169022,47294.331857672536,47294.44317143675
67,2.09925,1.5000000045428017,47294.3355,47294.48295869594,-0.13246370699926047,-0.1270076723958482,0.22309078796196213,-0.5693093540801134,0.5693093540801134,0.13246370699926047,47294.35049498894,47294.48295869594
68,2.095,1.500000004085497,47294.3795,47294.52376438173,-0.15407425670855446,-0.15086007122914047,0.21570873355950748,-0.6993693242722727,0.6993693242722727,0.15407425670855446,47294.36969012502,47294.52376438173
69,2.138,1.5000000004616287,47294.334,47294.565582002935,-0.1763628475018777,-0.17532127636513906,0.20952819873129191,-0.8367431086923947,0.8367431086923947,0.1763628475018777,47294.38921915543,47294.565582002935
71,2.08475,1.4999999978275234,47294.443,47294.60883652551,-0.19457944092573598,-0.20178291597403586,0.20846616062284304,-0.967940865659734,0.967940865659734,0.19457944092573598,47294.41425708459,47294.60883652551
74,2.10916666666667,1.4999999977025178,47294.478,47294.65342824273,-0.20973305370716844,-0.23167572695739283,0.20846616062284304,-1.1113349344814794,1.1113349344814794,0.20973305370716844,47294.443695189024,47294.65342824273
75,2.132,1.499999998553827,47294.5015,47294.69914917536,-0.23695755621156422,-0.2636871800099875,0.20846616062284304,-1.2648920056001334,1.2648920056001334,0.23695755621156422,47294.462191619146,47294.69914917536
78,2.16166666666667,1.5000000001815137,47294.3835,47294.74604005415,-0.27706267356552416,-0.2956672931783639,0.20846616062284304,-1.4182987411241537,1.4182987411241537,0.27706267356552416,47294.46897738059,47294.74604005415
83,2.169,1.5000000013142851,47294.259,47294.794142862746,-0.3234989439297351,-0.32727837385270203,0.20846616062284304,-1.5699352493223782,1.5699352493223782,0.3234989439297351,47294.470643918816,47294.794142862746
84,2.184,1.4999999982242518,47294.211,47294.84342217903,-0.3803490630671149,-0.3579337418899134,0.20846616062284304,-1.7169872598051397,1.7169872598051397,0.3803490630671149,47294.46307311596,47294.84342217903
85,2.20466666666667,1.5000000005852665,47294.2605,47294.894130139415,-0.4205667844726122,-0.38650563277203925,0.20846616062284304,-1.8540449520308728,1.8540449520308728,0.4205667844726122,47294.47356335494,47294.894130139415
86,2.206,1.500000004672568,47294.1745,47294.946286154205,-0.441895275223942,-0.41020159014361623,0.20846616062284304,-1.9677130759162056,1.9677130759162056,0.441895275223942,47294.50439087898,47294.946286154205
90,2.09333333333333,1.4999999916790192,47294.312,47294.99974549395,-0.4608625735709211,-0.4256650501677844,0.20846616062284304,-2.0418903907281987,2.0418903907281987,0.4608625735709211,47294.53888292038,47294.99974549395
91,2.17166666666667,1.499999998701414,47294.2865,47295.05457348597,-0.47047775326063856,-0.4300718140253189,0.20846616062284304,-2.0630293796382846,2.0630293796382846,0.47047775326063856,47294.58409573271,47295.05457348597
101,2.09,1.5000000008711356,47294.539,47295.109136842875,-0.4668800716463011,-0.4222114905440119,0.20846616062284304,-2.0253238668691025,2.0253238668691025,0.4668800716463011,47294.64225677123,47295.109136842875
102,2.13527777777778,1.49999999808755,47294.6005,47295.1632649685,-0.4502211725557572,-0.40384788326304666,0.20846616062284304,-1.9372347150081985,1.9372347150081985,0.4502211725557572,47294.71304379594,47295.1632649685
105,2.09008333333333,1.4999999968745266,47294.7395,47295.21777905263,-0.4162338137830375,-0.3757430792732824,0.20577395156304024,-1.825999240521806,1.825999240521806,0.4162338137830375,47294.80154523885,47295.21777905263
109,2.13222222222222,1.4999999970660534,47294.8735,47295.27221080834,-0.36315981864754576,-0.3372475670912536,0.1965229383027821,-1.716072281453769,1.716072281453769,0.36315981864754576,47294.90905098969,47295.27221080834
111,2.11469444444444,1.500000001257709,47294.975,47295.32747575203,-0.3096061517353519,-0.29197238156888894,0.18060713403632156,-1.6166159943060219,1.6166159943060219,0.3096061517353519,47295.01786960029,47295.32747575203
115,2.11427777777778,1.4999999938012971,47295.326,47295.38362372933,-0.25529431894392474,-0.24420538758648844,0.17905923347498803,-1.3638246006487031,1.3638246006487031,0.25529431894392474,47295.128329410385,47295.38362372933
116,2.082875,1.5000000030812073,47295.22349999999,47295.43977633398,-0.18895203931606375,-0.19689203325186908,0.17731836567028025,-1.1103871418372175,1.1103871418372175,0.18895203931606375,47295.250824294664,47295.43977633398
118,2.0985,1.5000000001700802,47295.3985,47295.49610705558,-0.1144029639326618,-0.15445438676073941,0.16510448771157632,-0.9354947821318962,0.9354947821318962,0.1144029639326618,47295.38170409165,47295.49610705558
119,2.18,1.4999999972024478,47295.549,47295.55384926613,-0.06300108355935663,-0.11915629530348168,0.1618938265722604,-0.7360150650975993,0.7360150650975993,0.06300108355935663,47295.49084818257,47295.55384926613
120,2.108,1.499999997060804,47295.5705,47295.612984558386,-0.0369771258046967,-0.09116292502828098,0.1618938265722604,-0.5631031581527967,0.5631031581527967,0.0369771258046967,47295.57600743258,47295.612984558386
121,2.07508333333333,1.4999999963533346,47295.594,47295.67302023845,-0.024400983544182964,-0.07277361998583526,0.1618938265722604,-0.44951448444115416,0.44951448444115416,0.024400983544182964,47295.648619254905,47295.67302023845
122,2.101,1.5000000028450289,47295.616,47295.73424932612,-0.034294995362870395,-0.06712425404354387,0.1618938265722604,-0.41461898495297683,0.41461898495297683,0.034294995362870395,47295.699954330754,47295.73424932612
125,2.11697916666667,1.4999999986256165,47295.8105,47295.79569846008,-0.04547699553222628,-0.07237469484082087,0.1618938265722604,-0.44705036858534464,0.44705036858534464,0.04547699553222628,47295.75022146455,47295.79569846008
126,2.09329166666667,1.499999994789311,47295.8435,47295.85729540627,-0.057665819258545525,-0.08308436366658295,0.1618938265722604,-0.5132027911484242,0.5132027911484242,0.057665819258545525,47295.79962958701,47295.85729540627
127,2.08129166666667,1.5000000032318048,47295.9615,47295.91975658321,-0.08979057356191333,-0.09550726606216307,0.1618938265722604,-0.5899376652236579,0.5899376652236579,0.08979057356191333,47295.829966009645,47295.91975658321
129,2.10316666666667,1.499999995226124,47295.9545,47295.98285475738,-0.13810774583544116,-0.10605956867139968,0.1618938265722604,-0.6551180543259356,0.6551180543259356,0.13810774583544116,47295.84474701154,47295.98285475738
130,2.15233333333333,1.4999999950275178,47295.9735,47296.04758612482,-0.16165693110815482,-0.11345624526762145,0.1618938265722604,-0.7008064956509067,0.7008064956509067,0.16165693110815482,47295.88592919371,47296.04758612482
131,2.16477777777778,1.499999995584645,47296.044,47296.11412142802,-0.15938810299121542,-0.11898206692987717,0.1618938265722604,-0.7349388759846887,0.7349388759846887,0.15938810299121542,47295.95473332503,47296.11412142802
133,2.126875,1.4999999942013025,47296.0925,47296.18182305501,-0.14878324736491777,-0.12133449669959696,0.15882599999551603,-0.7639460585988597,0.7639460585988597,0.14878324736491777,47296.03303980765,47296.18182305501
134,2.04775,1.500000006368696,47296.0665,47296.25099197027,-0.11937170702731237,-0.11783482378248461,0.1584364198786449,-0.7437357134978229,0.7437357134978229,0.11937170702731237,47296.131620263244,47296.25099197027
135,2.07394444444444,1.4999999985992176,47296.229,47296.32121425977,-0.10086508472886635,-0.10701973583652741,0.15818256731177777,-0.6765583442933478,0.6765583442933478,0.10086508472886635,47296.22034917504,47296.32121425977
136,2.094125,1.499999999260352,47296.137,47296.39244782257,-0.09520939049252775,-0.09174885883112438,0.1473631066175483,-0.6226039945618161,0.6226039945618161,0.09520939049252775,47296.297238432075,47296.39244782257
138,2.11325,1.5000000033961174,47296.2645,47296.465171646676,-0.07883768718602369,-0.07512652537681991,0.14582513442786874,-0.5151822809666646,0.5151822809666646,0.07883768718602369,47296.38633395949,47296.465171646676
139,2.09725,1.5000000017616812,47296.262,47296.53930866757,-0.05829351730790222,-0.058455523640279554,0.14001854143478654,-0.41748416346348777,0.41748416346348777,0.05829351730790222,47296.48101515026,47296.53930866757
146,2.096875,1.500000004154271,47296.661,47296.6138675513,-0.04077195432182634,-0.04309293545116412,0.13440452460224284,-0.320621166427942,0.320621166427942,0.04077195432182634,47296.57309559698,47296.6138675513
147,2.07333333333333,1.5000000013521826,47296.6305,47296.688834838234,-0.02421903805952752,-0.027086196350056626,0.13221666931974954,-0.2048621893851526,0.2048621893851526,0.02421903805952752,47296.664615800175,47296.688834838234
148,2.05977083333333,1.5000000021965307,47296.746,47296.764645399126,-0.009787101902475115,-0.008920894684302362,0.12762958661748705,-0.06989676078038846,0.06989676078038846,0.009787101902475115,47296.75485829722,47296.764645399126
151,2.11373611111111,1.500000006290983,47296.9485,47296.841054471864,0.001255768263945356,0.010541128945381692,0.12762958661748705,0.0825915778993631,0.0825915778993631,0.001255768263945356,47296.84231024013,47296.841054471864
152,2.078,1.4999999987023869,47296.9415,47296.918774188234,0.018891586674726568,0.02970056417527505,0.12762958661748705,0.2327090838606983,0.2327090838606983,0.018891586674726568,47296.93766577491,47296.918774188234
