sample_index,axis,sensor_a,sensor_b,x_a,x_b,y_a,y_b,baseline_distance,mean_field,diff_field,gradient_field
272,3.718,47398.985,47402.873,393627.390707838,393628.55038578,3107822.95191035,3107823.90330252,1.4999999967868678,47400.929000000004,-3.8879999999990105,-2.5920000055516326
273,3.755,47399.117,47402.826,393627.296705511,393628.46375024,3107822.96372633,3107823.90606735,1.499999999064662,47400.9715,-3.709000000002561,-2.472666668210227
274,3.78,47398.966,47402.702,393627.203612867,393628.377060885,3107822.97775845,3107823.91211371,1.50000000089121,47400.834,-3.735999999997148,-2.4906666651849605
275,3.77,47399.089,47402.795,393627.110029581,393628.291349995,3107822.99618216,3107823.92056416,1.5000000009651224,47400.941999999995,-3.705999999998312,-2.4706666650758775
276,3.823,47399.209,47402.898,393627.018378765,393628.203834203,3107823.01629198,3107823.9353651,1.4999999983482495,47401.0535,-3.6889999999984866,-2.4593333360404612
277,3.869,47399.24,47402.913,393626.927047603,393628.115774903,3107823.04046923,3107823.9553066,1.5000000022313693,47401.076499999996,-3.673000000002503,-2.4486666630257488
278,3.847,47399.056,47402.86,393626.835405478,393628.027461126,3107823.06984937,3107823.98034558,1.5000000052662705,47400.958,-3.8040000000037253,-2.5359999910989757
279,3.89,47399.314,47402.899,393626.744387172,393627.937627282,3107823.10348903,3107824.01243239,1.499999997114013,47401.106499999994,-3.584999999999127,-2.3900000045977574
280,3.86,47399.266,47402.968,393626.65323203,393627.846714893,3107823.14262412,3107824.05124872,1.500000002492022,47401.117,-3.701999999997497,-2.4679999958981247
282,3.906,47399.192,47402.954,393626.470578591,393627.660373872,3107823.23810607,3107824.15155404,1.5000000015499864,47401.073000000004,-3.7619999999951688,-2.507999997405202
283,3.915,47399.309,47403.056,393626.379183174,393627.564269589,3107823.29465871,3107824.21420762,1.5000000030607008,47401.182499999995,-3.746999999995751,-2.49799999490008
284,4.011,47399.458,47403.174,393626.287575562,393627.466017908,3107823.35749375,3107824.28554204,1.499999997324922,47401.316,-3.7160000000003492,-2.477333337751606
285,4.004,47399.255,47403.199,393626.195669849,393627.36545506,3107823.42683777,3107824.3657747,1.4999999995415674,47401.227,-3.944000000003143,-2.62933333413901
286,4.078,47399.484,47403.107,393626.103399212,393627.262413818,3107823.50286901,3107824.45506917,1.5000000004567442,47401.2955,-3.6230000000068685,-2.4153333326024526
287,4.03716666666667,47399.492,47403.189,393626.013144393,393627.154295417,3107823.58285481,3107824.55639184,1.500000002611939,47401.3405,-3.6970000000001164,-2.464666662375038
288,4.072,47399.473,47403.227,393625.923422069,393627.042381528,3107823.66884559,3107824.66780992,1.500000000984557,47401.35,-3.754000000000815,-2.502666665024531
289,4.094,47399.497,47403.354,393625.83434619,393626.92637314,3107823.76090963,3107824.7892467,1.4999999962335162,47401.4255,-3.856999999996333,-2.5713333397874787
290,4.125,47399.557,47403.266,393625.746065281,393626.805953439,3107823.85908551,3107824.92051714,1.5000000042410793,47401.4115,-3.709000000002561,-2.4726666596771905
291,4.146,47399.552,47403.175,393625.658753599,393626.680796741,3107823.9633886,3107825.06130836,1.499999994702999,47401.36350000001,-3.6229999999995925,-2.4153333418624103
292,4.183,47399.44,47403.203,393625.5725973,393626.550582332,3107824.07381784,3107825.21115916,1.5000000003814826,47401.321500000005,-3.7629999999990105,-2.5086666660279984
293,4.198,47399.467,47403.363,393625.49466427,393626.408124599,3107824.18500847,3107825.37479426,1.499999999711233,47401.41499999999,-3.8960000000006403,-2.5973333338337765
294,4.223,47399.461,47403.331,393625.420251531,393626.2580255,3107824.30205203,3107825.54629267,1.4999999979447087,47401.396,-3.8699999999953434,-2.5800000035319965
295,4.26,47399.539,47403.212,393625.349470023,393626.100089603,3107824.42544749,3107825.72412768,1.499999996579804,47401.375499999995,-3.673000000002503,-2.448666672251615
296,4.297,47399.621,47403.242,393625.292369685,393625.924198766,3107824.55091247,3107825.91135064,1.5000000005775913,47401.4315,-3.620999999999185,-2.4139999990699197
297,4.31366666666667,47399.612,47403.426,393625.180311725,393625.798939554,3107824.70924121,3107826.07573292,1.4999999946258538,47401.519,-3.8139999999984866,-2.5426666757754326
298,4.334,47399.673,47403.371,393625.06307457,393625.674496935,3107824.8731727,3107826.24290358,1.4999999973690274,47401.522,-3.697999999996682,-2.465333337655271
299,4.359,47399.559,47403.326,393624.94451371,393625.546993986,3107825.04003263,3107826.4137202,1.5000000076407691,47401.442500000005,-3.7669999999998254,-2.5113333205408717
300,4.411,47399.594,47403.488,393624.823920021,393625.417133084,3107825.20915349,3107826.58686836,1.5000000003936231,47401.541,-3.894000000000233,-2.595999999318925
301,4.454,47399.604,47403.425,393624.700487586,393625.285727537,3107825.3798211,3107826.76094173,1.4999999983673629,47401.514500000005,-3.8210000000035507,-2.5473333361082813
302,4.485,47399.67,47403.526,393624.575822704,393625.151191989,3107825.55024384,3107826.93550561,1.4999999950682383,47401.598,-3.855999999999767,-2.570666675118455
303,4.479,47399.794,47403.547,393624.449160059,393625.014325635,3107825.71961607,3107827.10907203,1.499999997814523,47401.6705,-3.752999999996973,-2.502000003643358
305,4.522,47399.76,47403.605,393624.18994464,393624.733693545,3107826.05059745,3107827.44857354,1.5000000063894066,47401.6825,-3.845000000001164,-2.5633333224153234
306,4.568,47399.776,47403.543,393624.056510725,393624.590935316,3107826.21031208,3107827.61187919,1.5000000023008027,47401.659499999994,-3.7669999999998254,-2.511333329481162
307,4.583,47399.891,47403.706,393623.922127411,393624.445049193,3107826.36415552,3107827.77005481,1.5000000012286896,47401.798500000004,-3.8149999999950523,-2.5433333312467234
308,4.59,47399.911,47403.705,393623.784922274,393624.297995762,3107826.51187742,3107827.9214006,1.4999999998965161,47401.808000000005,-3.794000000001688,-2.5293333335089554
309,4.614,47399.997,47403.846,393623.646914071,393624.147853037,3107826.65188282,3107828.06576406,1.5000000027760698,47401.9215,-3.848999999994703,-2.5659999952475387
310,4.636,47400.167,47403.752,393623.506133153,393623.996695277,3107826.78414645,3107828.20166146,1.5000000004620149,47401.9595,-3.584999999999127,-2.3899999992632743
311,4.667,47400.047,47404.047,393623.363634866,393623.843578785,3107826.90768723,3107828.32883248,1.4999999957442227,47402.047,-4.0,-2.666666674232493
312,4.704,47400.216,47404.069,393623.220578932,393623.687461731,3107827.02166998,3107828.44715953,1.5000000017101838,47402.1425,-3.853000000002794,-2.5686666637399345
313,4.734,47400.267,47404.125,393623.07372558,393623.531707237,3107827.12685548,3107828.55522966,1.4999999988471853,47402.195999999996,-3.8580000000001746,-2.5720000019768094
314,4.741,47400.361,47404.182,393622.926440466,393623.373077672,3107827.22198796,3107828.65394997,1.4999999972609446,47402.2715,-3.8210000000035507,-2.5473333379872254
315,4.839,47400.405,47404.241,393622.777689004,393623.212739548,3107827.30740574,3107828.74293039,1.4999999987798311,47402.323000000004,-3.8360000000029686,-2.5573333354155645
