sample_index,axis,baseline_distance,signal,background_estimate,residual,residual_smoothed,local_scale,normalized_residual,enhanced_response,abs_residual,lowrank_component,sparse_component
114,2.62136805555556,1.4999999936214343,47396.177500000005,47396.17249580443,0.0050041955764754675,-0.055660201687715016,0.1659865819808755,-0.335329524974061,0.335329524974061,0.0050041955764754675,47396.17249580443,0.0
115,2.64233333333333,1.4999999935952837,47396.182,47396.221113974534,-0.03911397453339305,-0.015896336268471915,0.1659865819808755,-0.09576880298856594,0.09576880298856594,0.03911397453339305,47396.221113974534,0.0
116,2.57109722222222,1.4999999993207758,47396.1885,47396.26977675665,-0.08127675665309653,0.027984248683626194,0.1659865819808755,0.16859343899768028,0.16859343899768028,0.08127675665309653,47396.26977675665,0.0
117,2.64883333333333,1.4999999973152855,47396.2665,47396.31847945357,-0.051979453572130296,0.06042154437535727,0.1659865819808755,0.36401463090744807,0.36401463090744807,0.051979453572130296,47396.31847945357,0.0
119,2.57563715277778,1.5000000072304982,47396.399,47396.3671860728,0.03181392719852738,0.10401538658738395,0.1659865819808755,0.6266493673528881,0.6266493673528881,0.03181392719852738,47396.3671860728,0.0
126,2.6405,1.499999996519108,47396.637,47396.41583859531,0.22116140469006496,0.13091841841459326,0.1659865819808755,0.788728925267449,0.788728925267449,0.22116140469006496,47396.41583859531,0.0
129,2.574125,1.5000000042418018,47396.7665,47396.46431782428,0.30218217572110007,0.17254564334871247,0.1659865819808755,1.039515611982375,1.039515611982375,0.30218217572110007,47396.46431782428,0.0
130,2.581,1.500000000313339,47396.7235,47396.512563296885,0.21093670311529422,0.19987975633881028,0.1659865819808755,1.204192254298241,1.204192254298241,0.21093670311529422,47396.512563296885,0.0
134,2.67352777777778,1.4999999973557598,47396.898,47396.56058974226,0.33741025774361333,0.21800004419492325,0.1659865819808755,1.313359439018032,1.313359439018032,0.33741025774361333,47396.56058974226,0.0
136,2.61475,1.5000000019607345,47396.86,47396.61286851798,0.24713148202135926,0.2185909278543679,0.1659865819808755,1.3169192668811827,1.3169192668811827,0.24713148202135926,47396.61286851798,0.0
141,2.59516666666667,1.499999996440882,47397.0005,47396.66496895013,0.3355310498736799,0.19871553058975325,0.1659865819808755,1.1971782792216823,1.1971782792216823,0.3355310498736799,47396.66496895013,0.0
