sample_index,axis,baseline_distance,signal_0,signal_1,detection_score,is_candidate
261,9.19740967233481,1.4999999960330088,47399.9125,-2.368666672930909,0.5113999194866187,False
262,9.20099804497025,1.4999999981383547,47399.9385,-2.5926666698863188,0.5082037098530261,False
263,9.20440668485438,1.4999999967999578,47400.0405,-2.43933333853708,0.49578657813197957,False
264,9.20763236458356,1.499999995953126,47400.0825,-2.4340000065702587,0.5740574268566996,False
265,9.21067202421863,1.499999994440084,47400.087,-2.5173333426627886,0.5846062990265974,False
266,9.21352281325946,1.499999997242346,47400.090500000006,-2.370000004357287,0.6223574573652572,False
267,9.21618211277092,1.4999999949661171,47400.135,-2.462666674933279,0.57140751476918,False
268,9.21864755786464,1.4999999940517446,47400.166,-2.4026666761940234,0.6217120406056401,False
269,9.22091705913445,1.4999999935698314,47400.1475,-2.3366666766865447,0.6092625594148893,False
270,9.2229888297617,1.4999999964185833,47400.083,-2.4306666724705805,0.5638883915025922,False
271,9.22486140942628,1.5000000006844612,47400.1305,-2.4326666655598825,0.5603970058103928,False
272,9.22653368900032,1.500000001327573,47400.1765,-2.373999997899904,0.5318559973242087,False
273,9.22800492968737,1.4999999983385224,47400.2265,-2.455333336051164,0.5878477113960237,False
274,9.22927478337726,1.4999999929414385,47400.3055,-2.466000011604625,0.5618120934650397,False
275,9.23034330832827,1.500000006365356,47400.36,-2.371999989937277,0.5178674501300355,False
276,9.2312109812175,1.499999996724447,47400.357,-2.5053333388004706,0.590184779481206,False
277,9.23187871883185,1.4999999961805888,47400.4425,-2.3406666726257144,0.6127704594618405,False
278,9.2323478914972,1.499999994173961,47400.3855,-2.479333342966194,0.6239047766698247,False
279,9.23262033142999,1.5000000013029149,47400.518500000006,-2.38199999792876,0.6670228917813354,False
280,9.23269833956009,1.4999999951103484,47400.545,-2.289333340796765,0.6813088791130034,False
281,9.23258469314772,1.4999999970263322,47400.6025,-2.346000004650972,0.6838031699032623,False
282,9.2322826546476,1.5000000066454924,47400.702000000005,-2.4386666558646297,0.6300395123867397,False
283,9.23179597485611,1.5000000037236003,47400.715,-2.5226666604090164,0.6339750570216229,False
284,9.23112889473502,1.4999999963110675,47400.7755,-2.558000006290549,0.6904933820218966,False
285,9.23028614488184,1.500000004111699,47400.8925,-2.443333326636415,0.7518600593065642,False
286,9.22927293782896,1.4999999948125062,47400.961,-2.4546666751561776,0.7772618300795178,False
287,9.22809496828589,1.4999999978116378,47400.872,-2.378666670136457,1.0740965242731846,False
288,9.22675840577278,1.4999999999022378,47401.0055,-2.490000000162673,1.1817635261283355,False
289,9.22526988749052,1.4999999956136785,47401.022,-2.346666673526689,1.3334972439090291,False
290,9.22363650577088,1.49999999860632,47400.987,-2.3853333355504867,1.5667612718585562,False
291,9.22186579657593,1.499999995878743,47401.1275,-2.598000007141005,1.7253190384959625,False
292,9.21996572268255,1.4999999966883577,47401.096000000005,-2.428000005360329,1.9710893722214753,False
293,9.21794466121281,1.5000000007777483,47401.163,-2.4039999987533736,2.298202933151836,False
294,9.21581138423884,1.4999999995494977,47401.201,-2.5213333340900737,2.4495724341507827,False
295,9.21357503604946,1.500000002788242,47401.214,-2.471999995404124,2.640800471249039,False
296,9.21124511034357,1.4999999979586098,47401.2895,-2.4753333367043315,2.6679589501216956,False
297,9.20883142554057,1.5000000067570665,47401.3675,-2.5699999884201765,2.8622382505979824,False
298,9.20634409734055,1.5000000049919002,47401.3315,-2.400666658674148,2.961943378477394,False
299,9.20379351435095,1.4999999980049217,47401.277,-2.54133333671216,2.87150933397533,False
300,9.20119031318508,1.500000002663992,47401.3715,-2.492666662240635,2.791790368133336,False
301,9.1985453499164,1.5000000039050605,47401.345,-2.5906666599212618,2.548738615835539,False
302,9.19586967434011,1.5000000002005087,47401.408500000005,-2.513999999664374,2.175569032895198,False
303,9.19317448991111,1.4999999982938164,47401.2815,-2.430000002761884,1.9793862759433618,False
304,9.19047112144897,1.4999999961934434,47401.2865,-2.454000006225431,1.8534856155139137,False
305,9.18777098302627,1.499999998830315,47401.1755,-2.4833333352688416,1.602892896636032,False
306,9.18508554413883,1.499999999738467,47401.1705,-2.42466666709105,1.4168414252298098,False
307,9.18242629416747,1.4999999953212753,47401.131,-2.644000008247265,1.2952060909265368,False
308,9.17980470716729,1.5000000014791632,47401.058000000005,-2.602666664101668,1.3211986112655076,False
309,9.17723220478855,1.5000000025576548,47401.1,-2.4159999958779097,1.349343908416297,False
310,9.17472012094791,1.5000000048710287,47400.9865,-2.4259999921189737,1.4928948617487876,False
311,9.17227966899097,1.499999997015058,47401.037500000006,-2.590000005155358,1.6998829662382622,False
312,9.16992190625025,1.500000002572116,47400.9335,-2.4699999957657464,1.7694096290768393,False
313,9.16765770145243,1.4999999967832365,47400.992,-2.521333338739851,1.872523377180566,False
314,9.16549769775377,1.50000000225629,47400.98,-2.550666662825741,1.955346769233195,False
315,9.16345228053834,1.5000000018812196,47400.8565,-2.4446666636015504,2.011966354392231,False
316,9.16153154384324,1.500000003295698,47400.9445,-2.4766666612276254,1.9792237910399721,False
317,9.15974526706576,1.500000006006898,47400.926,-2.5439999898164145,1.9744899446237905,False
318,9.15810287830252,1.5000000024601412,47400.99,-2.4599999959669208,1.9681176783870034,False
319,9.15661342354457,1.5000000037295451,47400.927,-2.4946666604677823,1.871077011747602,False
320,9.15528554011877,1.4999999990430382,47401.0805,-2.511333334935384,1.861081939039841,False
321,9.15412743339103,1.500000003025211,47401.1215,-2.568666661488024,1.7563245387772783,False
322,9.15314685201649,1.5000000045394344,47401.100000000006,-2.521333325702544,1.6655651616320593,False
323,9.15235105757825,1.500000001747229,47401.203,-2.51333333040847,1.5134454354351832,False
324,9.15174679560443,1.500000004527755,47401.254,-2.6959999918583897,1.2942120599762665,False
325,9.15134027392716,1.499999998036907,47401.387,-2.582666670048966,1.1674096886357277,False
326,9.15113714471231,1.4999999978456329,47401.4455,-2.688666670530307,0.9772425973203929,False
327,9.15114249170837,1.50000000101151,47401.490000000005,-2.486666664991942,0.8351930462497317,False
328,9.15136081267881,1.4999999968001094,47401.5225,-2.4740000052748146,0.7603266118164191,False
329,9.15179599750888,1.499999994443541,47401.584,-2.5266666760267955,0.6040780669563871,False
330,9.15245131910694,1.5000000004953304,47401.628,-2.4426666658580696,0.5524547750229309,False
