sample_index,axis,baseline_distance,signal,background_estimate,residual,residual_smoothed,local_scale,normalized_residual,enhanced_response,abs_residual,emd_trend_residual
6922,4.32231236757435,1.5000000005870573,47287.5015,47287.42322526336,0.0782747366397735,-0.0031536125371891283,0.005157470952148324,-0.6114649149648635,0.6114649149648635,0.0782747366397735,47287.43165617793
6923,4.32310634077518,1.5000000047385154,47287.421,47287.422109752675,-0.0011097526714107658,0.0029815267437557414,0.005157470952148324,0.578098601314235,0.578098601314235,0.0011097526714107658,47287.42426722597
6924,4.32391438093135,1.500000003283884,47287.3735,47287.42192842634,-0.0484284263341834,-0.0007575664658813119,0.005157470952148324,-0.14688719973609365,0.14688719973609365,0.0484284263341834,47287.4160091575
6925,4.32472812385642,1.5000000010183498,47287.379,47287.42182697857,-0.04282697856822061,-0.00038872314157712285,0.005290002388887087,-0.0734826022751386,0.0734826022751386,0.04282697856822061,47287.40683525294
6926,4.32553905111222,1.4999999980140577,47287.426,47287.41605801786,0.009941982143994308,-0.0008799571079688151,0.005290002388887087,-0.16634342355258197,0.16634342355258197,0.009941982143994308,47287.39680974443
6927,4.32633851058826,1.499999994721226,47287.447,47287.40196379417,0.04503620583319927,-0.006524133189563819,0.005290002388887087,-1.233294942034302,1.233294942034302,0.04503620583319927,47287.38599686409
6928,4.3271177462162,1.500000006539891,47287.393,47287.38332446402,0.009675535977601707,-0.0014906105111024321,0.005290002388887087,-0.28177879734682454,0.28177879734682454,0.009675535977601707,47287.37437532373
6929,4.32786792801176,1.4999999977167904,47287.3785,47287.36437294732,0.01412705267954157,0.007311308031534315,0.005290002388887087,1.3820991927893007,1.3820991927893007,0.01412705267954157,47287.36193681505
6930,4.32858018002219,1.5000000002946074,47287.2765,47287.34910996967,-0.07260996967201463,0.011516775744382125,0.005157470952148324,2.2330277477539373,2.2330277477539373,0.07260996967201463,47287.34876503999
6931,4.32924562158918,1.5000000072648498,47287.368,47287.3405228481,0.02747715190541846,0.015316899258556095,0.005290002388887087,2.8954427867051438,2.8954427867051438,0.02747715190541846,47287.33494370052
6932,4.32985539445593,1.4999999941442772,47287.382,47287.33780804856,0.044191951434741715,0.0139231591726999,0.005363275757746277,2.596017770033627,2.596017770033627,0.044191951434741715,47287.320615841585
6933,4.33040070155867,1.5000000064154575,47287.3695,47287.33871115945,0.030788840549547322,0.005760345472534169,0.005363275757746277,1.074034924311769,1.074034924311769,0.030788840549547322,47287.30625850379
6934,4.33087283195334,1.500000003659505,47287.336,47287.340977769156,-0.004977769152590315,0.008529434787891645,0.005363275757746277,1.590340525670795,1.590340525670795,0.004977769152590315,47287.29281279136
6935,4.33126319466646,1.4999999999092164,47287.3745,47287.33035690623,0.04414309377156002,0.013975128989472362,0.005363275757746277,2.6057077093766488,2.6057077093766488,0.04414309377156002,47287.2810138048
